#cups;fecha;hora;kwh
ES0031105511819013KF1L;02/07/2024;7;0.904
ES0031105511811032KD2N;02/07/2024;7;0.938
ES0022105511819019MK3F;02/07/2024;8;0.535
ES0031105511819012LM0G;02/07/2024;8;0.101
ES0031105511819013KF1L;02/07/2024;8;0.535
ES0031105511811032KD2N;02/07/2024;8;1.106
ES0022105511819019MK3F;02/07/2024;9;0.326
ES0031105511819012LM0G;02/07/2024;9;0.239
ES0031105511819013KF1L;02/07/2024;9;0.326
ES0031105511811032KD2N;02/07/2024;9;1.117
ES0022105511819019MK3F;02/07/2024;10;0.504
ES0031105511819012LM0G;02/07/2024;10;0.231
ES0031105511819013KF1L;02/07/2024;10;0.504
ES0031105511811032KD2N;02/07/2024;10;0.516
ES0022105511819019MK3F;02/07/2024;11;1.258
ES0031105511819012LM0G;02/07/2024;11;0.354
ES0031105511819013KF1L;02/07/2024;11;1.258
ES0031105511811032KD2N;02/07/2024;11;1.461
ES0022105511819019MK3F;02/07/2024;12;0.382
ES0031105511819012LM0G;02/07/2024;12;0.339
ES0031105511819013KF1L;02/07/2024;12;0.382
ES0031105511811032KD2N;02/07/2024;12;1.256
ES0022105511819019MK3F;02/07/2024;13;1.361
ES0031105511819012LM0G;02/07/2024;13;0.364
ES0031105511819013KF1L;02/07/2024;13;1.361
ES0031105511811032KD2N;02/07/2024;13;1.782
ES0022105511819019MK3F;02/07/2024;14;0.914
ES0031105511819012LM0G;02/07/2024;14;0.192
ES0031105511819013KF1L;02/07/2024;14;0.914
ES0031105511811032KD2N;02/07/2024;14;0.963
ES0022105511819019MK3F;02/07/2024;15;0.215
ES0031105511819012LM0G;02/07/2024;15;0.089
ES0031105511819013KF1L;02/07/2024;15;0.215
ES0031105511811032KD2N;02/07/2024;15;0.73
ES0022105511819019MK3F;02/07/2024;16;0.271
ES0031105511819012LM0G;02/07/2024;16;0.086
ES0031105511819013KF1L;02/07/2024;16;0.271
ES0031105511811032KD2N;02/07/2024;16;0.867
ES0022105511819019MK3F;02/07/2024;17;0.21
ES0031105511819012LM0G;02/07/2024;17;0.106
ES0031105511819013KF1L;02/07/2024;17;0.21
ES0031105511811032KD2N;02/07/2024;17;0.825
ES0022105511819019MK3F;02/07/2024;18;0.591
ES0031105511819012LM0G;02/07/2024;18;0.092
ES0031105511819013KF1L;02/07/2024;18;0.591
ES0031105511811032KD2N;02/07/2024;18;0.874
ES0022105511819019MK3F;02/07/2024;19;0.592
ES0031105511819012LM0G;02/07/2024;19;0.084
ES0031105511819013KF1L;02/07/2024;19;0.592
ES0031105511811032KD2N;02/07/2024;19;0.94
ES0022105511819019MK3F;02/07/2024;20;0.503
ES0031105511819012LM0G;02/07/2024;20;0.103
ES0031105511819013KF1L;02/07/2024;20;0.503
ES0031105511811032KD2N;02/07/2024;20;1.27
ES0022105511819019MK3F;02/07/2024;21;0.772
ES0031105511819012LM0G;02/07/2024;21;0.113
ES0031105511819013KF1L;02/07/2024;21;0.772
ES0031105511811032KD2N;02/07/2024;21;0.777
ES0022105511819019MK3F;02/07/2024;22;0.249
ES0031105511819012LM0G;02/07/2024;22;0.138
ES0031105511819013KF1L;02/07/2024;22;0.249
ES0031105511811032KD2N;02/07/2024;22;0.836
ES0022105511819019MK3F;02/07/2024;23;0.336
ES0031105511819012LM0G;02/07/2024;23;0.242
ES0031105511819013KF1L;02/07/2024;23;0.336
ES0031105511811032KD2N;02/07/2024;23;0.796
ES0022105511819019MK3F;02/07/2024;24;0.871
ES0031105511819012LM0G;02/07/2024;24;0.167
ES0031105511819013KF1L;02/07/2024;24;0.871
ES0031105511811032KD2N;02/07/2024;24;0.993
ES0022105511819019MK3F;03/07/2024;1;0.16
ES0031105511819012LM0G;03/07/2024;1;0.114
ES0031105511819013KF1L;03/07/2024;1;0.16
ES0031105511811032KD2N;03/07/2024;1;0.557
ES0022105511819019MK3F;03/07/2024;2;0.619
ES0031105511819012LM0G;03/07/2024;2;0.1
ES0031105511819013KF1L;03/07/2024;2;0.619
ES0031105511811032KD2N;03/07/2024;2;1.073
ES0022105511819019MK3F;03/07/2024;3;0.331
ES0031105511819012LM0G;03/07/2024;3;0.087
ES0031105511819013KF1L;03/07/2024;3;0.331
ES0031105511811032KD2N;03/07/2024;3;0.51
ES0022105511819019MK3F;03/07/2024;4;0.139
ES0031105511819012LM0G;03/07/2024;4;0.102
ES0031105511819013KF1L;03/07/2024;4;0.139
ES0031105511811032KD2N;03/07/2024;4;0.54
ES0022105511819019MK3F;03/07/2024;5;0.938
ES0031105511819012LM0G;03/07/2024;5;0.102
ES0031105511819013KF1L;03/07/2024;5;0.938
ES0031105511811032KD2N;03/07/2024;5;1.172
ES0022105511819019MK3F;03/07/2024;6;0.271
ES0031105511819012LM0G;03/07/2024;6;0.085
ES0031105511819013KF1L;03/07/2024;6;0.271
ES0031105511811032KD2N;03/07/2024;6;1.241
ES0022105511819019MK3F;03/07/2024;7;0.918
ES0031105511819012LM0G;03/07/2024;7;0.209
ES0031105511819013KF1L;03/07/2024;7;0.918
ES0031105511811032KD2N;03/07/2024;7;1.036
ES0022105511819019MK3F;03/07/2024;8;0.723
ES0031105511819012LM0G;03/07/2024;8;0.39
ES0031105511819013KF1L;03/07/2024;8;0.723
ES0031105511811032KD2N;03/07/2024;8;0.945
ES0022105511819019MK3F;03/07/2024;9;0.523
ES0031105511819012LM0G;03/07/2024;9;0.083
ES0031105511819013KF1L;03/07/2024;9;0.523
ES0031105511811032KD2N;03/07/2024;9;1.143
ES0022105511819019MK3F;03/07/2024;10;0.105
ES0031105511819012LM0G;03/07/2024;10;0.094
ES0031105511819013KF1L;03/07/2024;10;0.105
ES0031105511811032KD2N;03/07/2024;10;0.629
ES0022105511819019MK3F;03/07/2024;11;0.759
ES0031105511819012LM0G;03/07/2024;11;0.107
ES0031105511819013KF1L;03/07/2024;11;0.759
ES0031105511811032KD2N;03/07/2024;11;0.919
ES0022105511819019MK3F;03/07/2024;12;0.371
ES0031105511819012LM0G;03/07/2024;12;0.084
ES0031105511819013KF1L;03/07/2024;12;0.371
ES0031105511811032KD2N;03/07/2024;12;1.294
ES0022105511819019MK3F;03/07/2024;13;1.034
ES0031105511819012LM0G;03/07/2024;13;0.09
ES0031105511819013KF1L;03/07/2024;13;1.034
ES0031105511811032KD2N;03/07/2024;13;1.437
ES0022105511819019MK3F;03/07/2024;14;0.907
ES0031105511819012LM0G;03/07/2024;14;0.108
ES0031105511819013KF1L;03/07/2024;14;0.907
ES0031105511811032KD2N;03/07/2024;14;1.054
ES0022105511819019MK3F;03/07/2024;15;0.363
ES0031105511819012LM0G;03/07/2024;15;0.087
ES0031105511819013KF1L;03/07/2024;15;0.363
ES0031105511811032KD2N;03/07/2024;15;0.368
ES0022105511819019MK3F;03/07/2024;16;0.754
ES0031105511819012LM0G;03/07/2024;16;0.088
ES0031105511819013KF1L;03/07/2024;16;0.754
ES0031105511811032KD2N;03/07/2024;16;0.783
ES0022105511819019MK3F;03/07/2024;17;0.3
ES0031105511819012LM0G;03/07/2024;17;0.109
ES0031105511819013KF1L;03/07/2024;17;0.3
ES0031105511811032KD2N;03/07/2024;17;0.309
ES0022105511819019MK3F;03/07/2024;18;0.839
ES0031105511819012LM0G;03/07/2024;18;0.093
ES0031105511819013KF1L;03/07/2024;18;0.839
ES0031105511811032KD2N;03/07/2024;18;0.936
ES0022105511819019MK3F;03/07/2024;19;0.378
ES0031105511819012LM0G;03/07/2024;19;0.099
ES0031105511819013KF1L;03/07/2024;19;0.378
ES0031105511811032KD2N;03/07/2024;19;1.101
ES0022105511819019MK3F;03/07/2024;20;0.593
ES0031105511819012LM0G;03/07/2024;20;0.123
ES0031105511819013KF1L;03/07/2024;20;0.593
ES0031105511811032KD2N;03/07/2024;20;0.618
ES0022105511819019MK3F;03/07/2024;21;0.477
ES0031105511819012LM0G;03/07/2024;21;0.096
ES0031105511819013KF1L;03/07/2024;21;0.477
ES0031105511811032KD2N;03/07/2024;21;1.016
ES0022105511819019MK3F;03/07/2024;22;0.175
ES0031105511819012LM0G;03/07/2024;22;0.117
ES0031105511819013KF1L;03/07/2024;22;0.175
ES0031105511811032KD2N;03/07/2024;22;0.375
ES0022105511819019MK3F;03/07/2024;23;0.879
ES0031105511819012LM0G;03/07/2024;23;0.092
ES0031105511819013KF1L;03/07/2024;23;0.879
ES0031105511811032KD2N;03/07/2024;23;1.149
ES0022105511819019MK3F;03/07/2024;24;0.138
ES0031105511819012LM0G;03/07/2024;24;0.094
ES0031105511819013KF1L;03/07/2024;24;0.138
ES0031105511811032KD2N;03/07/2024;24;0.949
ES0022105511819019MK3F;04/07/2024;1;0.131
ES0031105511819012LM0G;04/07/2024;1;0.115
ES0031105511819013KF1L;04/07/2024;1;0.131
ES0031105511811032KD2N;04/07/2024;1;0.939
ES0022105511819019MK3F;04/07/2024;2;0.379
ES0031105511819012LM0G;04/07/2024;2;0.089
ES0031105511819013KF1L;04/07/2024;2;0.379
ES0031105511811032KD2N;04/07/2024;2;0.463
ES0022105511819019MK3F;04/07/2024;3;0.42
ES0031105511819012LM0G;04/07/2024;3;0.091
ES0031105511819013KF1L;04/07/2024;3;0.42
ES0031105511811032KD2N;04/07/2024;3;1.276
ES0022105511819019MK3F;04/07/2024;4;0.955
ES0031105511819012LM0G;04/07/2024;4;0.111
ES0031105511819013KF1L;04/07/2024;4;0.955
ES0031105511811032KD2N;04/07/2024;4;1.221
ES0022105511819019MK3F;04/07/2024;5;0.149
ES0031105511819012LM0G;04/07/2024;5;0.095
ES0031105511819013KF1L;04/07/2024;5;0.149
ES0031105511811032KD2N;04/07/2024;5;0.35
ES0022105511819019MK3F;04/07/2024;6;0.969
ES0031105511819012LM0G;04/07/2024;6;0.088
ES0031105511819013KF1L;04/07/2024;6;0.969
ES0031105511811032KD2N;04/07/2024;6;1.549
ES0022105511819019MK3F;04/07/2024;7;0.422
ES0031105511819012LM0G;04/07/2024;7;0.102
ES0031105511819013KF1L;04/07/2024;7;0.422
ES0031105511811032KD2N;04/07/2024;7;0.727
ES0022105511819019MK3F;04/07/2024;8;0.264
ES0031105511819012LM0G;04/07/2024;8;0.101
ES0031105511819013KF1L;04/07/2024;8;0.264
ES0031105511811032KD2N;04/07/2024;8;0.516
ES0022105511819019MK3F;04/07/2024;9;1.029
ES0031105511819012LM0G;04/07/2024;9;0.085
ES0031105511819013KF1L;04/07/2024;9;1.029
ES0031105511811032KD2N;04/07/2024;9;1.786
ES0022105511819019MK3F;04/07/2024;10;0.995
ES0031105511819012LM0G;04/07/2024;10;0.093
ES0031105511819013KF1L;04/07/2024;10;0.995
ES0031105511811032KD2N;04/07/2024;10;1.057
ES0022105511819019MK3F;04/07/2024;11;0.804
ES0031105511819012LM0G;04/07/2024;11;0.11
ES0031105511819013KF1L;04/07/2024;11;0.804
ES0031105511811032KD2N;04/07/2024;11;1.549
ES0022105511819019MK3F;04/07/2024;12;0.984
ES0031105511819012LM0G;04/07/2024;12;0.085
ES0031105511819013KF1L;04/07/2024;12;0.984
ES0031105511811032KD2N;04/07/2024;12;1.578
ES0022105511819019MK3F;04/07/2024;13;0.336
ES0031105511819012LM0G;04/07/2024;13;0.088
ES0031105511819013KF1L;04/07/2024;13;0.336
ES0031105511811032KD2N;04/07/2024;13;1.193
ES0022105511819019MK3F;04/07/2024;14;0.674
ES0031105511819012LM0G;04/07/2024;14;0.11
ES0031105511819013KF1L;04/07/2024;14;0.674
ES0031105511811032KD2N;04/07/2024;14;0.995
ES0022105511819019MK3F;04/07/2024;15;2.409
ES0031105511819012LM0G;04/07/2024;15;2.083
ES0031105511819013KF1L;04/07/2024;15;2.409
ES0031105511811032KD2N;04/07/2024;15;2.587
ES0022105511819019MK3F;04/07/2024;16;2.542
ES0031105511819012LM0G;04/07/2024;16;1.742
ES0031105511819013KF1L;04/07/2024;16;2.542
ES0031105511811032KD2N;04/07/2024;16;2.864
ES0022105511819019MK3F;04/07/2024;17;0.172
ES0031105511819012LM0G;04/07/2024;17;0.102
ES0031105511819013KF1L;04/07/2024;17;0.172
ES0031105511811032KD2N;04/07/2024;17;0.795
ES0022105511819019MK3F;04/07/2024;18;0.513
ES0031105511819012LM0G;04/07/2024;18;0.101
ES0031105511819013KF1L;04/07/2024;18;0.513
ES0031105511811032KD2N;04/07/2024;18;0.734
ES0022105511819019MK3F;04/07/2024;19;0.202
ES0031105511819012LM0G;04/07/2024;19;0.077
ES0031105511819013KF1L;04/07/2024;19;0.202
ES0031105511811032KD2N;04/07/2024;19;0.248
ES0022105511819019MK3F;04/07/2024;20;0.89
ES0031105511819012LM0G;04/07/2024;20;0.081
ES0031105511819013KF1L;04/07/2024;20;0.89
ES0031105511811032KD2N;04/07/2024;20;1.063
ES0022105511819019MK3F;04/07/2024;21;0.507
ES0031105511819012LM0G;04/07/2024;21;0.103
ES0031105511819013KF1L;04/07/2024;21;0.507
ES0031105511811032KD2N;04/07/2024;21;1.118
ES0022105511819019MK3F;04/07/2024;22;1.042
ES0031105511819012LM0G;04/07/2024;22;0.086
ES0031105511819013KF1L;04/07/2024;22;1.042
ES0031105511811032KD2N;04/07/2024;22;1.637
ES0022105511819019MK3F;04/07/2024;23;0.664
ES0031105511819012LM0G;04/07/2024;23;0.079
ES0031105511819013KF1L;04/07/2024;23;0.664
ES0031105511811032KD2N;04/07/2024;23;0.97
ES0022105511819019MK3F;04/07/2024;24;0.516
ES0031105511819012LM0G;04/07/2024;24;0.097
ES0031105511819013KF1L;04/07/2024;24;0.516
ES0031105511811032KD2N;04/07/2024;24;0.828
ES0022105511819019MK3F;05/07/2024;1;0.495
ES0031105511819012LM0G;05/07/2024;1;0.094
ES0031105511819013KF1L;05/07/2024;1;0.495
ES0031105511811032KD2N;05/07/2024;1;1.286
ES0022105511819019MK3F;05/07/2024;2;0.695
ES0031105511819012LM0G;05/07/2024;2;0.08
ES0031105511819013KF1L;05/07/2024;2;0.695
ES0031105511811032KD2N;05/07/2024;2;0.847
ES0022105511819019MK3F;05/07/2024;3;0.434
ES0031105511819012LM0G;05/07/2024;3;0.088
ES0031105511819013KF1L;05/07/2024;3;0.434
ES0031105511811032KD2N;05/07/2024;3;1.117
ES0022105511819019MK3F;05/07/2024;4;0.298
ES0031105511819012LM0G;05/07/2024;4;0.103
ES0031105511819013KF1L;05/07/2024;4;0.298
ES0031105511811032KD2N;05/07/2024;4;0.338
ES0022105511819019MK3F;05/07/2024;5;0.169
ES0031105511819012LM0G;05/07/2024;5;0.08
ES0031105511819013KF1L;05/07/2024;5;0.169
ES0031105511811032KD2N;05/07/2024;5;0.395
ES0022105511819019MK3F;05/07/2024;6;0.867
ES0031105511819012LM0G;05/07/2024;6;0.081
ES0031105511819013KF1L;05/07/2024;6;0.867
ES0031105511811032KD2N;05/07/2024;6;1.172
ES0022105511819019MK3F;05/07/2024;7;0.869
ES0031105511819012LM0G;05/07/2024;7;0.102
ES0031105511819013KF1L;05/07/2024;7;0.869
ES0031105511811032KD2N;05/07/2024;7;1.62
ES0022105511819019MK3F;05/07/2024;8;1.038
ES0031105511819012LM0G;05/07/2024;8;0.087
ES0031105511819013KF1L;05/07/2024;8;1.038
ES0031105511811032KD2N;05/07/2024;8;1.071
ES0022105511819019MK3F;05/07/2024;9;0.877
ES0031105511819012LM0G;05/07/2024;9;0.079
ES0031105511819013KF1L;05/07/2024;9;0.877
ES0031105511811032KD2N;05/07/2024;9;1.859
ES0022105511819019MK3F;05/07/2024;10;0.284
ES0031105511819012LM0G;05/07/2024;10;0.091
ES0031105511819013KF1L;05/07/2024;10;0.284
ES0031105511811032KD2N;05/07/2024;10;1.006
ES0022105511819019MK3F;05/07/2024;11;0.145
ES0031105511819012LM0G;05/07/2024;11;0.098
ES0031105511819013KF1L;05/07/2024;11;0.145
ES0031105511811032KD2N;05/07/2024;11;1.084
ES0022105511819019MK3F;05/07/2024;12;0.138
ES0031105511819012LM0G;05/07/2024;12;0.079
ES0031105511819013KF1L;05/07/2024;12;0.138
ES0031105511811032KD2N;05/07/2024;12;0.389
ES0022105511819019MK3F;05/07/2024;13;0.126
ES0031105511819012LM0G;05/07/2024;13;0.084
ES0031105511819013KF1L;05/07/2024;13;0.126
ES0031105511811032KD2N;05/07/2024;13;1.094
ES0022105511819019MK3F;05/07/2024;14;0.979
ES0031105511819012LM0G;05/07/2024;14;0.104
ES0031105511819013KF1L;05/07/2024;14;0.979
ES0031105511811032KD2N;05/07/2024;14;1.488
ES0022105511819019MK3F;05/07/2024;15;0.779
ES0031105511819012LM0G;05/07/2024;15;0.086
ES0031105511819013KF1L;05/07/2024;15;0.779
ES0031105511811032KD2N;05/07/2024;15;1.129
ES0022105511819019MK3F;05/07/2024;16;0.397
ES0031105511819012LM0G;05/07/2024;16;0.081
ES0031105511819013KF1L;05/07/2024;16;0.397
ES0031105511811032KD2N;05/07/2024;16;1.171
ES0022105511819019MK3F;05/07/2024;17;0.103
ES0031105511819012LM0G;05/07/2024;17;0.098
ES0031105511819013KF1L;05/07/2024;17;0.103
ES0031105511811032KD2N;05/07/2024;17;0.274
ES0022105511819019MK3F;05/07/2024;18;1.048
ES0031105511819012LM0G;05/07/2024;18;0.093
ES0031105511819013KF1L;05/07/2024;18;1.048
ES0031105511811032KD2N;05/07/2024;18;1.63
ES0022105511819019MK3F;05/07/2024;19;0.14
ES0031105511819012LM0G;05/07/2024;19;0.075
ES0031105511819013KF1L;05/07/2024;19;0.14
ES0031105511811032KD2N;05/07/2024;19;0.589
ES0022105511819019MK3F;05/07/2024;20;0.944
ES0031105511819012LM0G;05/07/2024;20;0.084
ES0031105511819013KF1L;05/07/2024;20;0.944
ES0031105511811032KD2N;05/07/2024;20;1.451
ES0022105511819019MK3F;05/07/2024;21;1.069
ES0031105511819012LM0G;05/07/2024;21;0.102
ES0031105511819013KF1L;05/07/2024;21;1.069
ES0031105511811032KD2N;05/07/2024;21;1.825
ES0022105511819019MK3F;05/07/2024;22;0.823
ES0031105511819012LM0G;05/07/2024;22;0.082
ES0031105511819013KF1L;05/07/2024;22;0.823
ES0031105511811032KD2N;05/07/2024;22;1.539
ES0022105511819019MK3F;05/07/2024;23;0.31
ES0031105511819012LM0G;05/07/2024;23;0.08
ES0031105511819013KF1L;05/07/2024;23;0.31
ES0031105511811032KD2N;05/07/2024;23;0.434
ES0022105511819019MK3F;05/07/2024;24;0.626
ES0031105511819012LM0G;05/07/2024;24;0.1
ES0031105511819013KF1L;05/07/2024;24;0.626
ES0031105511811032KD2N;05/07/2024;24;1.317
ES0022105511819019MK3F;06/07/2024;1;0.759
ES0031105511819012LM0G;06/07/2024;1;0.09
ES0031105511819013KF1L;06/07/2024;1;0.759
ES0031105511811032KD2N;06/07/2024;1;1.391
ES0022105511819019MK3F;06/07/2024;2;0.564
ES0031105511819012LM0G;06/07/2024;2;0.08
ES0031105511819013KF1L;06/07/2024;2;0.564
ES0031105511811032KD2N;06/07/2024;2;0.703
ES0022105511819019MK3F;06/07/2024;3;0.428
ES0031105511819012LM0G;06/07/2024;3;0.092
ES0031105511819013KF1L;06/07/2024;3;0.428
ES0031105511811032KD2N;06/07/2024;3;0.566
ES0022105511819019MK3F;06/07/2024;4;0.357
ES0031105511819012LM0G;06/07/2024;4;0.099
ES0031105511819013KF1L;06/07/2024;4;0.357
ES0031105511811032KD2N;06/07/2024;4;0.786
ES0022105511819019MK3F;06/07/2024;5;0.793
ES0031105511819012LM0G;06/07/2024;5;0.077
ES0031105511819013KF1L;06/07/2024;5;0.793
ES0031105511811032KD2N;06/07/2024;5;0.868
ES0022105511819019MK3F;06/07/2024;6;0.212
ES0031105511819012LM0G;06/07/2024;6;0.086
ES0031105511819013KF1L;06/07/2024;6;0.212
ES0031105511811032KD2N;06/07/2024;6;0.396
ES0022105511819019MK3F;06/07/2024;7;0.993
ES0031105511819012LM0G;06/07/2024;7;0.102
ES0031105511819013KF1L;06/07/2024;7;0.993
ES0031105511811032KD2N;06/07/2024;7;1.706
ES0022105511819019MK3F;06/07/2024;8;0.478
ES0031105511819012LM0G;06/07/2024;8;0.083
ES0031105511819013KF1L;06/07/2024;8;0.478
ES0031105511811032KD2N;06/07/2024;8;1.032
ES0022105511819019MK3F;06/07/2024;9;0.125
ES0031105511819012LM0G;06/07/2024;9;0.082
ES0031105511819013KF1L;06/07/2024;9;0.125
ES0031105511811032KD2N;06/07/2024;9;0.19
ES0022105511819019MK3F;06/07/2024;10;0.61
ES0031105511819012LM0G;06/07/2024;10;0.102
ES0031105511819013KF1L;06/07/2024;10;0.61
ES0031105511811032KD2N;06/07/2024;10;1.385
ES0022105511819019MK3F;06/07/2024;11;0.116
ES0031105511819012LM0G;06/07/2024;11;0.087
ES0031105511819013KF1L;06/07/2024;11;0.116
ES0031105511811032KD2N;06/07/2024;11;0.457
ES0022105511819019MK3F;06/07/2024;12;0.855
ES0031105511819012LM0G;06/07/2024;12;0.081
ES0031105511819013KF1L;06/07/2024;12;0.855
ES0031105511811032KD2N;06/07/2024;12;1.133
ES0022105511819019MK3F;06/07/2024;13;0.868
ES0031105511819012LM0G;06/07/2024;13;0.093
ES0031105511819013KF1L;06/07/2024;13;0.868
ES0031105511811032KD2N;06/07/2024;13;1.256
ES0022105511819019MK3F;06/07/2024;14;0.619
ES0031105511819012LM0G;06/07/2024;14;0.095
ES0031105511819013KF1L;06/07/2024;14;0.619
ES0031105511811032KD2N;06/07/2024;14;1.148
ES0022105511819019MK3F;06/07/2024;15;1.011
